excel_column,excel_header,source_group,primary_source,primary_field_expression,secondary_source,secondary_field_expression,column_selection_rule,notes
BX,Số tiền trừ trong tháng,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Số tiền trừ trong tháng
BY,Số phần trăm còn phải trừ tháng sau,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Số phần trăm còn phải trừ tháng sau
BZ,Số tiền còn phải trừ tháng sau,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Số tiền còn phải trừ tháng sau
CA,TỔNG THU NHẬP,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: TỔNG THU NHẬP | gross | gross salary | tổng thu nhập | cơ sở tính toán
CB,Tiền ăn,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Tiền ăn | hỗ trợ ăn ca không chịu thuế
CC,Làm thêm giờ không chịu thuế,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Làm thêm giờ không chịu thuế | tăng ca không chịu thuế
CD,Công tác phí (30% được trả thêm khi đi công tác),payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Công tác phí (30% được trả thêm khi đi công tác)
CE,THU NHẬP CHỊU THUẾ,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: THU NHẬP CHỊU THUẾ
CF,Giảm trừ bản thân,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Giảm trừ bản thân | giảm trừ cơ sở tính thuế thu nhập cá nhân
CG,Số người phụ thuộc,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Số người phụ thuộc | người phụ thuộc
CH,Giảm trừ NPT,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Giảm trừ NPT
CI,BHXH người lao động,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: BHXH người lao động | bhxh người lao động | bảo hiểm xã hội - hưu trí nlđ đóng
CJ,BHYT người lao động,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: BHYT người lao động | bhyt người lao động | bảo hiểm y tế nlđ đóng
CK,BHTN người lao động,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: BHTN người lao động | bhtn người lao động | bảo hiểm thất nghiệp nlđ đóng
CL,Tổng BH người lao động nộp,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Tổng BH người lao động nộp | tổng bh người lao động nộp | tổng bảo hiểm nlđ đóng
CM,"BH HT, Ốm đau thai sản Công ty",payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Nhãn khớp: BH HT, Ốm đau thai sản Công ty | bh ht ốm đau thai sản công ty"
CN,"BHTNLĐ, BNN Công ty",payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,"Nhãn khớp: BHTNLĐ, BNN Công ty | bảo hiểm tnlđ, bnn công ty đóng"
CO,BHYT Công ty,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: BHYT Công ty | bảo hiểm y tế cty đóng
CP,BHTN Công ty,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: BHTN Công ty | bảo hiểm thất nghiệp cty đóng
CQ,Tổng BH Công ty nộp,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Tổng BH Công ty nộp | tổng bảo hiểm cty đóng
CR,Truy thu BHXH,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Truy thu BHXH
CS,THU NHẬP TÍNH THUẾ,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: THU NHẬP TÍNH THUẾ
CT,Thuế TNCN NLĐ PHẢI NỘP,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Thuế TNCN NLĐ PHẢI NỘP | thuế tncn | thuế tncn nlđ phải nộp | thuế thu nhập cá nhân | personal income tax | pit
CU,Công đoàn phí,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Công đoàn phí
CV,Trừ tạm ứng thu nhập,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Trừ tạm ứng thu nhập
CW,BH Metlife,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: BH Metlife
CX,Trừ trả thẻ BHYT muộn,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Trừ trả thẻ BHYT muộn
CY,Trừ nợ đồng phục,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Trừ nợ đồng phục
CZ,Khấu trừ các khoản chi hộ,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Khấu trừ các khoản chi hộ
DA,Trừ bồi thường chi phí đào tạo,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Trừ bồi thường chi phí đào tạo
DB,Trừ tiền cọc của Tài xế,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Trừ tiền cọc của Tài xế
DC,Khấu trừ khác,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Khấu trừ khác
DD,Trừ tiền ăn canteen,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Trừ tiền ăn canteen
DE,Trừ tạm ứng thu nhập (25% tài xế),payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Trừ tạm ứng thu nhập (25% tài xế)
DF,Khấu trừ sạc điện,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Khấu trừ sạc điện
DG,Tổng khấu trừ,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Tổng khấu trừ
DH,Hoàn thuế (5%),payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Hoàn thuế (5%)
DI,THỰC LĨNH,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: THỰC LĨNH | net salary | net | thực lĩnh
DJ,THỰC CHI,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: THỰC CHI
DK,Dự phòng lương tháng 13,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: Dự phòng lương tháng 13
DL,CK/GL/TM,payslip_line,hr.payslip.line,hr.payslip.line.total,,,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Nhãn khớp: CK/GL/TM
DM,Ngày bắt đầu hợp đồng,contract,hr.contract,"contract_start_date, fallback date_start",hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Bản lặp của ngày bắt đầu hợp đồng ở cuối sheet. Nhãn khớp: Ngày bắt đầu hợp đồng
DN,Khối,contract,hr.contract,"khoi_id.display_name, fallback khoi_name",hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Bản lặp của Khối ở cuối sheet. Nhãn khớp: Khối Header leaf trùng với cột B; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào DN.
DO,Phòng/Bộ phận,contract,hr.contract,"department_id.display_name, fallback phong_id.display_name",hr.payslip.line,hr.payslip.line.total,Khớp cột khi hr.payslip.line.code hoặc name hoặc salary_rule_id.name trùng header/alias sau khi chuẩn hóa lower-case + khoảng trắng.,Bản lặp của Phòng/Bộ phận ở cuối sheet. Nhãn khớp: Phòng/Bộ phận Header leaf trùng với cột C; nếu line chỉ khớp exact header thì _column_for_line sẽ map vào DO.
